Year,Chart,Artist,Song,Genre,Original Genre
1968,55,Pictures of Matchstick Men,Status Quo,rock,album rock blues rock british blues
1968,56,Summertime Blues,Blue Cheer,rock,acid rock blues rock classic garage rock
1968,57,Ain't Nothing Like the Real Thing,Marvin Gaye & Tammi Terrell,r&b,motown
1968,58,I Got the Feelin',James Brown,funk,funk soul
1968,59,I've Gotta Get a Message to You,The Bee Gees,rock,disco mellow gold soft rock
1968,60,Lady Madonna,The Beatles,rock,beatlesque british invasion classic rock
1968,61,Hurdy Gurdy Man,Donovan,rock,art rock british folk british invasion
1968,62,Magic Carpet Ride,Steppenwolf,rock,acid rock album rock blues rock
1968,63,Bottle of Wine,The Fireballs,surf,surf music
1968,64,Stay in My Corner,The Dells,funk,chicago soul classic soul funk
1968,65,Soul Serenade,Willie Mitchell,funk,classic soul funk instrumental soul
1968,66,Delilah,Tom Jones,adult standards,adult standards british invasion mellow gold
1968,67,Nobody but Me,The Human Beinz,rock,classic garage rock freakbeat psychedelic rock
1968,68,I Thank You,Sam & Dave,funk,classic soul funk memphis soul
1968,69,The Fool on the Hill,Sergio Mendes,jazz,bossa nova brazilian jazz samba
1968,70,Sky Pilot,The Animals,rock,album rock blues rock british invasion
1968,71,Indian Lake,The Cowsills,rock,bubblegum pop classic rock folk rock
1968,72,I Wonder What She's Doing Tonight,Tommy Boyce & Bobby Hart,pop,bubblegum pop
1968,73,Over You,Gary Puckett & The Union Gap,rock,adult standards bubblegum pop folk rock
1968,74,Goin' Out of My Head/Can't Take My Eyes Off You,The Lettermen,adult standards,adult standards bubblegum pop easy listening
1968,75,Shoo Be Doo Be Doo Da Day,Stevie Wonder,funk,adult standards funk motown
1968,76,The Unicorn,The Irish Rovers,N/A,canadian celtic celtic irish folk
1968,77,You Keep Me Hangin' On,Vanilla Fudge,rock,acid rock blues rock classic rock
1968,78,Revolution,The Beatles,rock,beatlesque british invasion classic rock
1968,79,"Woman, Woman",Gary Puckett & The Union Gap,rock,adult standards bubblegum pop folk rock
1968,80,Elenore,The Turtles,rock,bubblegum pop classic rock folk rock
1968,81,White Room,Cream,rock,album rock art rock blues rock
1968,82,You're All I Need to Get By,Marvin Gaye & Tammi Terrell,r&b,motown
1968,83,"Baby, Now That I've Found You",The Foundations,soul,bubblegum pop soul
1968,84,Sweet Inspiration,The Sweet Inspirations,r&b,classic soul rhythm and blues soul
1968,85,If You Can Want,Smokey Robinson and the Miracles,funk,classic soul funk motown
1968,86,Cab Driver,The Mills Brothers,adult standards,adult standards big band lounge
1968,87,Time Has Come Today,The Chambers Brothers,rock,classic garage rock psychedelic rock psychedelic soul
1968,88,Do You Know the Way to San Jose,Dionne Warwick,disco,adult standards brill building pop disco
1968,89,Scarborough Fair,Simon & Garfunkel,rock,classic rock folk folk rock
1968,90,Say It Loud I'm Black and I'm Proud,James Brown,funk,funk soul
1968,91,The Mighty Quinn,Manfred Mann,rock,album rock art rock british blues
1968,92,Here Comes the Judge,Shorty Long,r&b,motown
1968,93,I Say a Little Prayer,Aretha Franklin,adult standards,adult standards classic soul jazz blues
1968,94,Think,Aretha Franklin,adult standards,adult standards classic soul jazz blues
1968,95,Sealed with a Kiss,Gary Lewis and the Playboys,adult standards,adult standards british invasion bubblegum pop
1968,96,Piece of My Heart,Big Brother and the Holding Company,rock,blues rock classic rock psychedelic rock
1968,97,Suzie Q.,Creedence Clearwater Revival,rock,album rock classic rock country rock
1968,98,"Bend Me, Shape Me",The American Breed,pop,bubblegum pop
1968,99,"Hey, Western Union Man",Jerry Butler,soul,beach music chicago soul classic soul
1968,100,Never Give You Up,Jerry Butler,soul,beach music chicago soul classic soul
1969,1,"Sugar, Sugar",The Archies,rock,bubblegum pop classic canadian rock folk rock
1969,2,Aquarius/Let the Sunshine In,The 5th Dimension,rock,adult standards bubblegum pop folk rock
1969,3,I Can't Get Next to You,The Temptations,funk,classic soul funk memphis soul
1969,4,Honky Tonk Women,The Rolling Stones,rock,british invasion classic rock rock
1969,5,Everyday People,Sly and the Family Stone,rock,classic rock classic soul funk
1969,6,Dizzy,Tommy Roe,adult standards,adult standards bubblegum pop classic uk pop
1969,7,Hot Fun in the Summertime,Sly and the Family Stone,rock,classic rock classic soul funk
1969,8,I'll Never Fall in Love Again,Tom Jones,adult standards,adult standards british invasion mellow gold
1969,9,Build Me Up Buttercup,The Foundations,soul,bubblegum pop soul
1969,10,Crimson and Clover,Tommy James and the Shondells,rock,bubblegum pop classic garage rock classic rock
1969,11,One,Three Dog Night,rock,album rock art rock blues rock
1969,12,Crystal Blue Persuasion,Tommy James and the Shondells,rock,bubblegum pop classic garage rock classic rock
1969,13,Hair,The Cowsills,rock,bubblegum pop classic rock folk rock
1969,14,Too Busy Thinking About My Baby,Marvin Gaye,funk,classic soul funk motown
1969,15,Love Theme from Romeo and Juliet,Henry Mancini,adult standards,adult standards classic soundtrack easy listening
1969,16,Get Together,The Youngbloods,rock,bubblegum pop classic garage rock classic rock
1969,17,Grazing in the Grass,The Friends of Distinction,soul,classic soul
1969,18,Suspicious Minds,Elvis Presley,rock,rock-and-roll rockabilly
1969,19,Proud Mary,Creedence Clearwater Revival,rock,album rock classic rock country rock
1969,20,What Does It Take (To Win Your Love),Jr. Walker & The All Stars,funk,classic soul funk motown
1969,21,It's Your Thing,The Isley Brothers,disco,classic soul disco funk
1969,22,Sweet Caroline,Neil Diamond,rock,adult standards brill building pop classic rock
1969,23,Jean,Oliver,hip hop,alternative hip hop
1969,24,Bad Moon Rising,Creedence Clearwater Revival,rock,album rock classic rock country rock
1969,25,Get Back,The Beatles with Billy Preston,funk,classic soul funk psychedelic soul
1969,26,In the Year 2525,Zager & Evans,pop,bubblegum pop
1969,27,Spinning Wheel,"Blood, Sweat & Tears",rock,album rock art rock blues rock
1969,28,"Baby, I Love You",Andy Kim,pop,bubblegum pop
1969,29,Going in Circles,The Friends of Distinction,soul,classic soul
1969,30,Hurt So Bad,The Lettermen,adult standards,adult standards bubblegum pop easy listening
1969,31,Green River,Creedence Clearwater Revival,rock,album rock classic rock country rock
1969,32,My Cherie Amour,Stevie Wonder,funk,adult standards funk motown
1969,33,Easy to Be Hard,Three Dog Night,rock,album rock art rock blues rock
1969,34,Baby It's You,Smith,N/A,madchester new wave permanent wave
1969,35,In the Ghetto,Elvis Presley,rock,rock-and-roll rockabilly
1969,36,A Boy Named Sue,Johnny Cash,country,arkansas country outlaw country
1969,37,"Baby, Baby Don't Cry",The Miracles,r&b,classic soul motown quiet storm
1969,38,Only the Strong Survive,Jerry Butler,soul,beach music chicago soul classic soul
1969,39,Time of the Season,The Zombies,rock,art rock baroque pop british invasion
1969,40,Wedding Bell Blues,The 5th Dimension,rock,adult standards bubblegum pop folk rock
1969,41,Little Woman,Bobby Sherman,pop,bubblegum pop
1969,42,Love (Can Make You Happy),Mercy,rock,ccm christian alternative rock christian indie
1969,43,Good Morning Starshine,Oliver,hip hop,alternative hip hop
1969,44,These Eyes,The Guess Who,rock,album rock art rock blues rock
1969,45,You've Made Me So Very Happy,"Blood, Sweat & Tears",rock,album rock art rock blues rock
1969,46,Put a Little Love in Your Heart,Jackie DeShannon,pop,brill building pop bubblegum pop
1969,47,Do Your Thing,The Watts 103rd Street Rhythm Band,funk,funk soul
1969,48,I'd Wait a Million Years,The Grass Roots,rock,bubblegum pop classic rock country rock
1969,49,Touch Me,The Doors,rock,acid rock album rock classic rock
1969,50,More Today Than Yesterday,Spiral Starecase,N/A,
1969,51,I've Gotta Be Me,Sammy Davis Jr.,adult standards,adult standards easy listening lounge
1969,52,Lay Lady Lay,Bob Dylan,rock,classic rock country rock folk
1969,53,Atlantis,Donovan,rock,art rock british folk british invasion
1969,54,Traces,Classics IV,rock,adult standards bubblegum pop soft rock
1969,55,It's Getting Better,Mama Cass Elliot,N/A,
1969,56,This Magic Moment,Jay and the Americans,rock,adult standards bubblegum pop classic rock
1969,57,"Runaway Child, Running Wild",The Temptations,funk,classic soul funk memphis soul
1969,58,Hawaii Five O,The Ventures,surf,rock-and-roll rockabilly surf music
1969,59,Galveston,Glen Campbell,adult standards,adult standards arkansas country classic country pop
1969,60,I'm Gonna Make You Mine,Lou Christie,rock,bubblegum pop merseybeat rock-and-roll
1969,61,Gitarzan,Ray Stevens,pop,bubblegum pop comic novelty
1969,62,Can I Change My Mind,Tyrone Davis,funk,chicago soul classic soul funk
1969,63,Time Is Tight,Booker T & the M.G.'s,funk,classic soul funk instrumental funk
1969,64,This Girl's in Love With You,Dionne Warwick,disco,adult standards brill building pop disco
1969,65,Color Him Father,The Winstons,N/A,
1969,66,Black Pearl,"Checkmates, Ltd.",N/A,
1969,67,Indian Giver,1910 Fruitgum Company,pop,bubblegum pop merseybeat
1969,68,Mother Popcorn,James Brown,funk,funk soul
1969,69,Twenty Five Miles,Edwin Starr,r&b,classic soul motown northern soul
1969,70,Things I'd Like to Say,New Colony Six,rock,classic garage rock freakbeat
1969,71,When I Die,Motherlode,N/A,
1969,72,That's the Way Love Is,Marvin Gaye,funk,classic soul funk motown
1969,73,Everybody's Talkin',Harry Nilsson,rock,art rock classic rock country rock
1969,74,The Worst That Could Happen,Johnny Maestro & the Brooklyn Bridge,pop,soda pop
1969,75,The Chokin' Kind,Joe Simon,soul,classic soul philly soul soul
1969,76,Smile a Little Smile for Me,The Flying Machine,N/A,beatlesque
1969,77,Polk Salad Annie,Tony Joe White,rock,blues blues rock classic rock
1969,78,"Ruby, Don't Take Your Love to Town",Kenny Rogers and The First Edition,rock,psychedelic rock
1969,79,Games People Play,Joe South,pop,bubblegum pop merseybeat
1969,80,You Showed Me,The Turtles,rock,bubblegum pop classic rock folk rock
1969,81,Tracy,The Cuff Links,N/A,
1969,82,"Oh, What a Night",The Dells,funk,chicago soul classic soul funk
1969,83,Something,The Beatles,rock,beatlesque british invasion classic rock
1969,84,This Girl Is a Woman Now,Gary Puckett & The Union Gap,rock,adult standards bubblegum pop folk rock
1969,85,Come Together,The Beatles,rock,beatlesque british invasion classic rock
1969,86,Ramblin' Gamblin' Man,Bob Seger,rock,album rock classic rock country rock
1969,87,I'm Gonna Make You Love Me,The Supremes & The Temptations,funk,classic soul funk memphis soul
1969,88,I Heard It Through the Grapevine,Marvin Gaye,funk,classic soul funk motown
1969,89,Gimme Gimme Good Lovin',Crazy Elephant,pop,bubblegum pop
1969,90,Hang 'Em High,Booker T & the M.G.'s,funk,classic soul funk instrumental funk
1969,91,Your Good Thing (Is About to End),Lou Rawls,disco,adult standards classic soul disco
1969,92,"Baby, I'm for Real",The Originals,r&b,classic soul motown northern soul
1969,93,Oh Happy Day,Edwin Hawkins Singers,N/A,
1969,94,Love Me Tonight,Tom Jones,adult standards,adult standards british invasion mellow gold
1969,95,"Mr. Sun, Mr. Moon",Paul Revere & the Raiders,rock,bubblegum pop classic garage rock classic rock
1969,96,Laughing,The Guess Who,rock,album rock art rock blues rock
1969,97,My Whole World Ended (The Moment You Left Me),David Ruffin,disco,classic soul disco funk
1969,98,Soul Deep,The Box Tops,rock,bubblegum pop classic rock folk rock
1969,99,Hooked on a Feeling,B.J. Thomas,adult standards,adult standards bubblegum pop classic country pop
1969,100,Sweet Cream Ladies,The Box Tops,rock,bubblegum pop classic rock folk rock
1969,101,Let Me,Paul Revere & the Raiders,rock,bubblegum pop classic garage rock classic rock
1970,1,Bridge Over Troubled Water,Simon & Garfunkel,rock,classic rock folk folk rock
1970,2,(They Long to Be) Close to You,The Carpenters,rock,adult standards mellow gold soft rock
1970,3,American Woman,The Guess Who,rock,album rock art rock blues rock
1970,4,Raindrops Keep Fallin' on My Head,B.J. Thomas,adult standards,adult standards bubblegum pop classic country pop
1970,5,War,Edwin Starr,r&b,classic soul motown northern soul
1970,6,Ain't No Mountain High Enough,Diana Ross,disco,adult standards dance pop disco
1970,7,I'll Be There,The Jackson 5,adult standards,adult standards motown
1970,8,Get Ready,Rare Earth,rock,blues rock classic rock country rock
1970,9,Let It Be,The Beatles,rock,beatlesque british invasion classic rock
1970,10,Band of Gold,Freda Payne,soul,classic soul
1970,11,Mama Told Me (Not to Come),Three Dog Night,rock,album rock art rock blues rock
1970,12,Everything Is Beautiful,Ray Stevens,pop,bubblegum pop comic novelty
1970,13,Make It with You,Bread,rock,adult standards folk rock mellow gold
1970,14,Hitchin' a Ride,Vanity Fare,pop,bubblegum pop classic uk pop merseybeat
1970,15,ABC,The Jackson 5,adult standards,adult standards motown
1970,16,The Love You Save,The Jackson 5,adult standards,adult standards motown
1970,17,Cracklin' Rosie,Neil Diamond,rock,adult standards brill building pop classic rock
1970,18,Candida,Dawn,rock,lovers rock reggae rocksteady
1970,19,Thank You (Falettinme Be Mice Elf Agin),Sly & the Family Stone,rock,classic rock classic soul funk
1970,20,Spill the Wine,Eric Burdon & War,soul,psychedelic soul
1970,21,O o h Child,Five Stairsteps,r&b,chicago soul classic soul motown
1970,22,Spirit in the Sky,Norman Greenbaum,rock,classic rock
1970,23,Lay Down (Candles in the Rain),Melanie,pop,alt z electropop pop
1970,24,Ball of Confusion (That's What the World Is Today),The Temptations,funk,classic soul funk memphis soul
1970,25,Love on a Two Way Street,The Moments,disco,classic soul disco funk
1970,26,Which Way You Goin' Billy?,The Poppy Family,rock,bubblegum pop canadian psychedelic classic canadian rock
1970,27,All Right Now,Free,r&b,alternative r&b indie soul
1970,28,I Want You Back,The Jackson 5,adult standards,adult standards motown
1970,29,"Julie, Do Ya Love Me",Bobby Sherman,pop,bubblegum pop
1970,30,Green Eyed Lady,Sugarloaf,rock,classic rock country rock soft rock
1970,31,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,funk,adult standards funk motown
1970,32,Ride Captain Ride,Blues Image,N/A,
1970,33,Venus,Shocking Blue,rock,classic rock nederpop psychedelic rock
1970,34,Instant Karma!,John Lennon,rock,album rock beatlesque classic rock
1970,35,Patches,Clarence Carter,funk,classic soul funk rhythm and blues
1970,36,Lookin' out My Back Door,Creedence Clearwater Revival,rock,album rock classic rock country rock
1970,37,Rainy Night in Georgia,Brook Benton,r&b,rhythm and blues soul southern soul
1970,38,Something's Burning,Kenny Rogers & The First Edition,rock,psychedelic rock
1970,39,Give Me Just a Little More Time,Chairmen of the Board,N/A,beach music
1970,40,Love Grows (Where My Rosemary Goes),Edison Lighthouse,pop,bubblegum pop
1970,41,The Long and Winding Road,The Beatles,rock,beatlesque british invasion classic rock
1970,42,Snowbird,Anne Murray,adult standards,adult standards canadian country canadian pop
1970,43,Reflections of My Life,Marmalade,rock,bubblegum pop classic uk pop folk rock
1970,44,Hey There Lonely Girl,Eddie Holman,soul,classic soul northern soul philly soul
1970,45,The Rapper,The Jaggerz,pop,bubblegum pop
1970,46,"He Ain't Heavy, He's My Brother",The Hollies,rock,album rock british invasion bubblegum pop
1970,47,"Tighter, Tighter",Alive N Kickin',pop,bubblegum pop
1970,48,Come and Get It,Badfinger,rock,album rock art rock beatlesque
1970,49,Cecilia,Simon & Garfunkel,rock,classic rock folk folk rock
1970,50,Love Land,Charles Wright & the Watts 103rd Street Rhythm Band,funk,funk soul
1970,51,Turn Back the Hands of Time,Tyrone Davis,funk,chicago soul classic soul funk
1970,52,Lola,The Kinks,rock,album rock art rock british invasion
1970,53,In the Summertime,Mungo Jerry,blues,british blues bubblegum pop classic uk pop
1970,54,Indiana Wants Me,R. Dean Taylor,r&b,classic uk pop motown northern soul
1970,55,(I Know) I'm Losing You,Rare Earth,rock,blues rock classic rock country rock
1970,56,"Easy Come, Easy Go",Bobby Sherman,pop,bubblegum pop
1970,57,Express Yourself,Charles Wright & the Watts 103rd Street Rhythm Band,funk,funk soul
1970,58,Still Water (Love),The Four Tops,disco,adult standards classic soul disco
1970,59,Make Me Smile,Chicago,rock,adult standards album rock classic rock
1970,60,The House of the Rising Sun,Frijid Pink,rock,blues rock detroit rock proto-metal
1970,61,25 or 6 to 4,Chicago,rock,adult standards album rock classic rock
1970,62,My Baby Loves Lovin',White Plains,pop,bubblegum pop classic uk pop
1970,63,Love or Let Me Be Lonely,The Friends of Distinction,soul,classic soul
1970,64,United We Stand,The Brotherhood of Man,pop,bubblegum pop classic uk pop nederpop
1970,65,We've Only Just Begun,The Carpenters,rock,adult standards mellow gold soft rock
1970,66,Arizona,Mark Lindsay,pop,bubblegum pop
1970,67,Fire and Rain,James Taylor,rock,adult standards classic rock folk
1970,68,Groovy Situation,Gene Chandler,r&b,chicago soul classic soul motown
1970,69,Evil Ways,Santana,rock,blues rock classic rock mexican classic rock
1970,70,No Time,The Guess Who,rock,album rock art rock blues rock
1970,71,Didn't I (Blow Your Mind This Time),The Delfonics,funk,classic soul funk philly soul
1970,72,The Wonder of You,Elvis Presley,rock,rock-and-roll rockabilly
1970,73,Up Around the Bend,Creedence Clearwater Revival,rock,album rock classic rock country rock
1970,74,(If You Let Me Make Love To You Then) Why Can't I Touch You?,Ronnie Dyson,soul,classic soul
1970,75,I Just Can't Help Believing,B.J. Thomas,adult standards,adult standards bubblegum pop classic country pop
1970,76,It's a Shame,The Spinners,disco,classic soul disco funk
1970,77,For the Love of Him,Bobbi Martin,N/A,
1970,78,Mississippi Queen,Mountain,rock,album rock blues rock classic rock
1970,79,I Want to Take You Higher,Ike & Tina Turner,funk,classic soul funk soul
1970,80,The Letter,Joe Cocker,rock,blues rock classic rock mellow gold
1970,81,Ma Belle Amie,Tee Set,pop,nederpop
1970,82,The Bells,The Originals,r&b,classic soul motown northern soul
1970,83,Yellow River,Christie,latin,mariachi musica mexicana nueva musica mexicana
1970,84,Somebody's Been Sleeping,100 Proof (Aged in Soul),N/A,
1970,85,Vehicle,The Ides of March,N/A,
1970,86,Gimme Dat Ding,The Pipkins,N/A,novelty
1970,87,Lay a Little Lovin' on Me,Robin McNamara,pop,bubblegum pop
1970,88,Up the Ladder to the Roof,The Supremes,disco,adult standards classic girl group disco
1970,89,Travelin' Band,Creedence Clearwater Revival,rock,album rock classic rock country rock
1970,90,Come Saturday Morning,The Sandpipers,adult standards,adult standards bubblegum pop easy listening
1970,91,Psychedelic Shack,The Temptations,funk,classic soul funk memphis soul
1970,92,Without Love (There Is Nothing),Tom Jones,adult standards,adult standards british invasion mellow gold
1970,93,Are You Ready?,Pacific Gas & Electric,N/A,
1970,94,Woodstock,"Crosby, Stills, Nash & Young",rock,album rock blues rock classic rock
1970,95,I'll Never Fall in Love Again,Dionne Warwick,disco,adult standards brill building pop disco
1970,96,Look What They've Done to My Song Ma,The New Seekers,adult standards,adult standards bubblegum pop classic uk pop
1970,97,Walk A Mile In My Shoes,Joe South,pop,bubblegum pop merseybeat
1970,98,The Thrill Is Gone,B.B. King,rock,blues blues rock classic rock
1970,99,It's Only Make Believe,Glen Campbell,adult standards,adult standards arkansas country classic country pop
1970,100,Call Me,Aretha Franklin,adult standards,adult standards classic soul jazz blues
1971,1,Joy to the World,Three Dog Night,rock,album rock art rock blues rock
1971,2,Maggie May,Rod Stewart,rock,classic rock mellow gold soft rock
1971,3,It's Too Late/I Feel the Earth Move,Carole King,rock,adult standards brill building pop classic rock
1971,4,One Bad Apple,The Osmonds,pop,bubblegum pop
1971,5,How Can You Mend a Broken Heart,Bee Gees,rock,disco mellow gold soft rock
1971,6,Indian Reservation (The Lament of the Cherokee Reservation Indian),Paul Revere & the Raiders,rock,bubblegum pop classic garage rock classic rock
1971,7,Go Away Little Girl,Donny Osmond,adult standards,adult standards bubblegum pop classic uk pop
1971,8,"Take Me Home, Country Roads",John Denver,adult standards,adult standards classic country pop folk
1971,9,Just My Imagination (Running Away with Me),The Temptations,funk,classic soul funk memphis soul
1971,10,Knock Three Times,Tony Orlando and Dawn,adult standards,adult standards bubblegum pop classic uk pop
1971,11,Me and Bobby McGee,Janis Joplin,rock,blues rock classic rock psychedelic rock
1971,12,Tired of Being Alone,Al Green,funk,classic soul funk memphis soul
1971,13,Want Ads,Honey Cone,soul,classic soul
1971,14,Smiling Faces Sometimes,The Undisputed Truth,funk,classic soul funk motown
1971,15,Treat Her Like a Lady,Cornelius Brothers & Sister Rose,soul,classic soul
1971,16,You've Got a Friend,James Taylor,rock,adult standards classic rock folk
1971,17,Mr. Big Stuff,Jean Knight,soul,classic soul new orleans soul soul
1971,18,Brown Sugar,The Rolling Stones,rock,british invasion classic rock rock
1971,19,Do You Know What I Mean,Lee Michaels,N/A,hammond organ
1971,20,The Night They Drove Old Dixie Down,Joan Baez,rock,american folk revival folk folk rock
1971,21,What's Going On,Marvin Gaye,funk,classic soul funk motown
1971,22,Uncle Albert/Admiral Halsey,Paul & Linda McCartney,N/A,
1971,23,Ain't No Sunshine,Bill Withers,funk,classic soul funk quiet storm
1971,24,Signs,Five Man Electrical Band,rock,bubblegum pop canadian psychedelic classic canadian rock
1971,25,She's a Lady,Tom Jones,adult standards,adult standards british invasion mellow gold
1971,26,Superstar,Murray Head & The Trinidad Singers,N/A,british soundtrack scorecore soundtrack
1971,27,I've Found Someone of My Own,The Free Movement,N/A,
1971,28,Amos Moses,Jerry Reed,rock,country country rock
1971,29,Temptation Eyes,The Grass Roots,rock,bubblegum pop classic rock country rock
1971,30,Superstar,The Carpenters,rock,adult standards mellow gold soft rock
1971,31,My Sweet Lord,George Harrison,rock,album rock beatlesque classic rock
1971,32,Sweet and Innocent,Donny Osmond,adult standards,adult standards bubblegum pop classic uk pop
1971,33,Put Your Hand in the Hand,Ocean,N/A,environmental sleep
1971,34,Chick A Boom (Don't Ya Jes' Love It),Daddy Dewdrop,N/A,novelty
1971,35,For All We Know,The Carpenters,rock,adult standards mellow gold soft rock
1971,36,Help Me Make It Through the Night,Sammi Smith,adult standards,classic country pop nashville sound oklahoma country
1971,37,Rainy Days and Mondays,The Carpenters,rock,adult standards mellow gold soft rock
1971,38,If You Could Read My Mind,Gordon Lightfoot,rock,canadian country canadian singer-songwriter classic rock
1971,39,"Gypsys, Tramps & Thieves",Cher,pop,dance pop hollywood new wave pop
1971,40,Never Can Say Goodbye,The Jackson 5,adult standards,adult standards motown
1971,41,Rose Garden,Lynn Anderson,adult standards,nashville sound
1971,42,Don't Pull Your Love,"Hamilton, Joe Frank & Reynolds",rock,bubblegum pop soft rock
1971,43,It Don't Come Easy,Ringo Starr,rock,album rock beatlesque bubblegum pop
1971,44,Mr. Bojangles,Nitty Gritty Dirt Band,rock,country country rock folk
1971,45,I Love You for All Seasons,The Fuzz,soul,classic soul
1971,46,Whatcha See is Whatcha Get,The Dramatics,disco,classic soul disco funk
1971,47,That's the Way I've Always Heard It Should Be,Carly Simon,rock,adult standards classic rock classic uk pop
1971,48,If You Really Love Me,Stevie Wonder,funk,adult standards funk motown
1971,49,Spanish Harlem,Aretha Franklin,adult standards,adult standards classic soul jazz blues
1971,50,I Don't Know How to Love Him,Helen Reddy,rock,adult standards bubblegum pop folk rock
1971,51,Yo Yo,The Osmonds,pop,bubblegum pop
1971,52,Bridge over Troubled Water,Aretha Franklin,adult standards,adult standards classic soul jazz blues
1971,53,Doesn't Somebody Want to Be Wanted,The Partridge Family,pop,bubblegum pop
1971,54,Draggin' the Line,Tommy James,rock,bubblegum pop classic garage rock classic rock
1971,55,Proud Mary,Ike & Tina Turner,funk,classic soul funk soul
1971,56,Beginnings/Colour My World,Chicago,rock,adult standards album rock classic rock
1971,57,Stay Awhile,The Bells,rock,classic canadian rock
1971,58,Sweet City Woman,The Stampeders,N/A,
1971,59,Me and You and a Dog Named Boo,Lobo,adult standards,adult standards bubblegum pop classic uk pop
1971,60,"Another Day/Oh Woman, Oh Why",Paul McCartney,rock,album rock art rock beatlesque
1971,61,If,Bread,rock,adult standards folk rock mellow gold
1971,62,Mercy Mercy Me (The Ecology),Marvin Gaye,funk,classic soul funk motown
1971,63,One Toke Over the Line,Brewer & Shipley,rock,country rock folk rock mellow gold
1971,64,She's Not Just Another Woman,8th Day,pop,jewish pop
1971,65,Bring the Boys Home,Freda Payne,soul,classic soul
1971,66,I Just Want to Celebrate,Rare Earth,rock,blues rock classic rock country rock
1971,67,Never Ending Song of Love,Delaney & Bonnie & Friends,rock,blues rock country rock swamp rock
1971,68,Easy Loving,Freddie Hart,country,classic country pop
1971,69,Liar,Three Dog Night,rock,album rock art rock blues rock
1971,70,Stick Up,Honey Cone,soul,classic soul
1971,71,Chirpy Chirpy Cheep Cheep,Mac and Katie Kissoon,pop,bubblegum pop classic uk pop nederpop
1971,72,(Where Do I Begin?) Love Story,Andy Williams,adult standards,adult standards easy listening lounge
1971,73,Wild World,Cat Stevens,rock,british folk classic rock folk
1971,74,"When You're Hot, You're Hot",Jerry Reed,rock,country country rock
1971,75,Funky Nassau,The Beginning of the End,pop,bahamian pop rare groove
1971,76,If Not for You,Olivia Newton John,disco,adult standards australian dance disco
1971,77,Groove Me,King Floyd,funk,classic soul funk soul
1971,78,Watching Scotty Grow,Bobby Goldsboro,adult standards,adult standards bubblegum pop easy listening
1971,79,Woodstock,Matthews Southern Comfort,rock,british folk classic uk pop country rock
1971,80,Amazing Grace,Judy Collins,rock,american folk revival folk folk rock
1971,81,I Hear You Knocking,Dave Edmunds,blues,british blues classic uk pop power pop
1971,82,Lonely Days,Bee Gees,rock,disco mellow gold soft rock
1971,83,Here Comes That Rainy Day Feeling Again,The Fortunes,adult standards,adult standards british invasion bubblegum pop
1971,84,Won't Get Fooled Again,The Who,rock,album rock art rock blues rock
1971,85,Trapped By a Thing Called Love,Denise LaSalle,blues,soul blues southern soul southern soul blues
1971,86,Mama's Pearl,The Jackson 5,adult standards,adult standards motown
1971,87,Timothy,The Buoys,N/A,
1971,88,I Woke Up In Love This Morning,The Partridge Family,pop,bubblegum pop
1971,89,Theme from Shaft,Isaac Hayes,disco,classic soul disco funk
1971,90,If I Were Your Woman,Gladys Knight & the Pips,disco,classic soul disco funk
1971,91,I Am...I Said,Neil Diamond,rock,adult standards brill building pop classic rock
1971,92,The Wedding Song (There Is Love),Paul Stookey,N/A,
1971,93,Don't Knock My Love,Wilson Pickett,funk,classic soul funk memphis soul
1971,94,Love Her Madly,The Doors,rock,acid rock album rock classic rock
1971,95,Here Comes the Sun,Richie Havens,rock,country rock folk folk rock
1971,96,Sweet Mary,Wadsworth Mansion,pop,bubblegum pop
1971,97,Right on the Tip of My Tongue,Brenda & the Tabulations,soul,classic soul philly soul souldies
1971,98,One Less Bell to Answer,The 5th Dimension,rock,adult standards bubblegum pop folk rock
1971,99,Riders on the Storm,The Doors,rock,acid rock album rock classic rock
1971,100,Somos Novios (It's Impossible),Perry Como,adult standards,adult standards easy listening lounge
1972,1,The First Time Ever I Saw Your Face,Roberta Flack,disco,adult standards classic soul disco
1972,2,Alone Again (Naturally),Gilbert O'Sullivan,rock,adult standards bubblegum pop classic rock
1972,3,American Pie,Don McLean,rock,adult standards classic rock folk
1972,4,Without You,Harry Nilsson,rock,art rock classic rock country rock
1972,5,The Candy Man,Sammy Davis Jr.,adult standards,adult standards easy listening lounge
1972,6,I Gotcha,Joe Tex,N/A,
1972,7,Lean on Me,Bill Withers,funk,classic soul funk quiet storm
1972,8,"Baby, Don't Get Hooked on Me",Mac Davis,rock,bubblegum pop country rock soft rock
1972,9,Brand New Key,Melanie,pop,alt z electropop pop
1972,10,Daddy Don't You Walk So Fast,Wayne Newton,adult standards,adult standards easy listening lounge
1972,11,Let's Stay Together,Al Green,funk,classic soul funk memphis soul
1972,12,Brandy (You're a Fine Girl),Looking Glass,rock,soft rock sunshine pop
1972,13,Oh Girl,The Chi Lites,disco,chicago soul classic soul disco
1972,14,Nice to Be with You,Gallery,rock,bubblegum pop soft rock
1972,15,My Ding a Ling,Chuck Berry,rock,classic rock rock rock-and-roll
1972,16,(If Loving You Is Wrong) I Don't Want to Be Right,Luther Ingram,soul,classic soul memphis soul southern soul
1972,17,Heart of Gold,Neil Young,rock,canadian singer-songwriter classic canadian rock classic rock
