Year,Chart,Artist,Song,Genre,Original Genre
1959,82,A Boy Without a Girl,Frankie Avalon,adult standards,adult standards bubblegum pop doo-wop
1959,83,Sweeter Than You,Ricky Nelson,adult standards,adult standards bubblegum pop lounge
1959,84,It Was I,Skip & Flip,N/A,
1959,85,"Goodbye Jimmy, Goodbye",Kathy Linden,adult standards,deep adult standards
1959,86,Manhattan Spiritual,Reg Owen Orchestra,N/A,
1959,87,Endlessly,Brook Benton,r&b,rhythm and blues soul southern soul
1959,88,Heartaches by the Number,Guy Mitchell,rock,adult standards deep adult standards rock-and-roll
1959,89,Sea Cruise,Frankie Ford,rock,doo-wop rhythm and blues rock-and-roll
1959,90,That's Why (I Love You So),Jackie Wilson,adult standards,adult standards chicago soul classic soul
1959,91,You're So Fine,The Falcons,r&b,rhythm and blues
1959,92,Kissin' Time,Bobby Rydell,adult standards,adult standards bubblegum pop doo-wop
1959,93,My Wish Came True,Elvis Presley,rock,rock-and-roll rockabilly
1959,94,Morgen,Ivo Robic,pop,croatian pop vintage schlager yu-mex
1959,95,Baby Talk,Jan and Dean,rock,bubblegum pop merseybeat rock-and-roll
1959,96,Take a Message to Mary,The Everly Brothers,adult standards,adult standards bubblegum pop lounge
1959,97,The Battle Hymn of the Republic,Mormon Tabernacle Choir,N/A,american choir lds
1959,98,Bongo Rock,Preston Epps,N/A,
1959,99,In the Mood,Ernie Fields,adult standards,deep adult standards
1959,100,Seven Little Girls Sitting in the Back Seat,Paul Evans,N/A,novelty
1960,1,Theme from A Summer Place,Percy Faith,adult standards,adult standards easy listening lounge
1960,2,He'll Have to Go,Jim Reeves,adult standards,adult standards nashville sound
1960,3,Cathy's Clown,The Everly Brothers,adult standards,adult standards bubblegum pop lounge
1960,4,Running Bear,Johnny Preston,rock,deep adult standards rhythm and blues rock-and-roll
1960,5,Teen Angel,Mark Dinning,r&b,doo-wop
1960,6,I'm Sorry,Brenda Lee,adult standards,adult standards
1960,7,It's Now or Never,Elvis Presley,rock,rock-and-roll rockabilly
1960,8,Handy Man,Jimmy Jones,r&b,doo-wop merseybeat rhythm and blues
1960,9,Stuck on You,Elvis Presley,rock,rock-and-roll rockabilly
1960,10,The Twist,Chubby Checker,rock,adult standards bubblegum pop rock-and-roll
1960,11,Everybody's Somebody's Fool,Connie Francis,adult standards,adult standards brill building pop lounge
1960,12,Wild One,Bobby Rydell,adult standards,adult standards bubblegum pop doo-wop
1960,13,Greenfields,The Brothers Four,adult standards,adult standards american folk revival easy listening
1960,14,What in the World's Come Over You,Jack Scott,rock,canadian rockabilly deep adult standards rock-and-roll
1960,15,El Paso,Marty Robbins,adult standards,cowboy western nashville sound
1960,16,Alley Oop,The Hollywood Argyles,r&b,doo-wop novelty
1960,17,My Heart Has a Mind of Its Own,Connie Francis,adult standards,adult standards brill building pop lounge
1960,18,Sweet Nothin's,Brenda Lee,adult standards,adult standards
1960,19,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,adult standards,adult standards bubblegum pop merseybeat
1960,20,Only the Lonely,Roy Orbison,rock,adult standards bubblegum pop classic rock
1960,21,Where or When,Dion and the Belmonts,adult standards,adult standards brill building pop doo-wop
1960,22,Sixteen Reasons,Connie Stevens,adult standards,deep adult standards
1960,23,Puppy Love,Paul Anka,adult standards,adult standards canadian pop easy listening
1960,24,Why,Frankie Avalon,adult standards,adult standards bubblegum pop doo-wop
1960,25,"Walk, Don't Run",The Ventures,surf,rock-and-roll rockabilly surf music
1960,26,Save the Last Dance for Me,The Drifters,adult standards,adult standards bubblegum pop lounge
1960,27,Baby (You've Got What It Takes),Dinah Washington & Brook Benton,adult standards,adult standards jazz blues lounge
1960,28,Sink the Bismarck,Johnny Horton,country,cowboy western
1960,29,Chain Gang,Sam Cooke,rock,adult standards classic soul rock-and-roll
1960,30,Let It Be Me,The Everly Brothers,adult standards,adult standards bubblegum pop lounge
1960,31,Good Timin',Jimmy Jones,r&b,doo-wop merseybeat rhythm and blues
1960,32,Beyond the Sea,Bobby Darin,adult standards,adult standards easy listening lounge
1960,33,"Go, Jimmy, Go",Jimmy Clanton,adult standards,adult standards doo-wop rhythm and blues
1960,34,Night,Jackie Wilson,adult standards,adult standards chicago soul classic soul
1960,35,Burning Bridges,Jack Scott,rock,canadian rockabilly deep adult standards rock-and-roll
1960,36,The Big Hurt,Toni Fisher,adult standards,deep adult standards
1960,37,Because They're Young,Duane Eddy,rock,adult standards rhythm and blues rock-and-roll
1960,38,Lonely Blue Boy,Conway Twitty,rock,arkansas country country country rock
1960,39,Pretty Blue Eyes,Steve Lawrence,adult standards,adult standards deep adult standards easy listening
1960,40,Way Down Yonder in New Orleans,Freddy Cannon,r&b,bubblegum pop doo-wop merseybeat
1960,41,Paper Roses,Anita Bryant,adult standards,deep adult standards
1960,42,Mr. Custer,Larry Verne,N/A,novelty
1960,43,I Want to Be Wanted,Brenda Lee,adult standards,adult standards
1960,44,Mule Skinner Blues,The Fendermen,N/A,
1960,45,Cradle of Love,Johnny Preston,rock,deep adult standards rhythm and blues rock-and-roll
1960,46,You Got What It Takes,Marv Johnson,r&b,motown rhythm and blues
1960,47,"Please Help Me, I'm Falling",Hank Locklin,adult standards,nashville sound
1960,48,Love You So,Ron Holden,N/A,
1960,49,Finger Poppin' Time,Hank Ballard & The Midnighters,r&b,doo-wop rhythm and blues
1960,50,Harbor Lights,The Platters,adult standards,adult standards doo-wop easy listening
1960,51,Let the Little Girl Dance,Billy Bland,N/A,
1960,52,He'll Have to Stay,Jeanne Black,adult standards,deep adult standards
1960,53,Theme from The Apartment,Ferrante & Teicher,adult standards,adult standards easy listening exotica
1960,54,Volare,Bobby Rydell,adult standards,adult standards bubblegum pop doo-wop
1960,55,A Million to One,Jimmy Charles,N/A,
1960,56,The Village of St. Bernadette,Andy Williams,adult standards,adult standards easy listening lounge
1960,57,White Silver Sands,Bill Black's Combo,N/A,
1960,58,The Old Lamp Lighter,The Browns,adult standards,deep adult standards nashville sound vocal harmony group
1960,59,Devil or Angel,Bobby Vee,adult standards,adult standards brill building pop bubblegum pop
1960,60,Down by the Station,The Four Preps,adult standards,deep adult standards doo-wop vocal harmony group
1960,61,Forever,The Little Dippers,N/A,
1960,62,Image of a Girl,The Safaris & The Phantom's Band,soul,brill building pop classic soul northern soul
1960,63,Kiddio,Brook Benton,r&b,rhythm and blues soul southern soul
1960,64,Mission Bell,Donnie Brooks,N/A,
1960,65,I Love the Way You Love,Marv Johnson,r&b,motown rhythm and blues
1960,66,It's Time to Cry,Paul Anka,adult standards,adult standards canadian pop easy listening
1960,67,Tell Laura I Love Her,Ray Peterson,rock,adult standards merseybeat rock-and-roll
1960,68,Mama,Connie Francis,adult standards,adult standards brill building pop lounge
1960,69,Footsteps,Steve Lawrence,adult standards,adult standards deep adult standards easy listening
1960,70,So Sad,The Everly Brothers,adult standards,adult standards bubblegum pop lounge
1960,71,That's All You Gotta Do,Brenda Lee,adult standards,adult standards
1960,72,Walking to New Orleans,Fats Domino,adult standards,adult standards louisiana blues lounge
1960,73,Among My Souvenirs,Connie Francis,adult standards,adult standards brill building pop lounge
