Year,Chart,ANEW Words Count,Valence Total,Valence Average,Arousal Total,Arousal Average,Dominance Total,Dominance Average,Happiness Total,Happiness Average,Anger Total,Anger Average,Sadness Total,Sadness Average,Fear Total,Fear Average,Disgust Total,Disgust Average
1959,1,13,60.21999999999999,4.632307692307692,62.510000000000005,4.808461538461539,61.89,4.760769230769231,24.53,1.886923076923077,23.209999999999997,1.7853846153846151,22.360000000000003,1.7200000000000002,27.150000000000006,2.088461538461539,19.68,1.5138461538461538
1959,2,16,84.25999999999999,5.266249999999999,82.69,5.168125,73.51,4.594375,34.33,2.145625,25.14,1.57125,22.1,1.38125,29.709999999999997,1.8568749999999998,21.14,1.32125
1959,3,15,108.35,7.223333333333333,81.94999999999999,5.463333333333333,87.38,5.825333333333333,55.099999999999994,3.673333333333333,19.380000000000003,1.2920000000000003,21.549999999999997,1.4366666666666665,19.31,1.2873333333333332,16.099999999999998,1.0733333333333333
1959,4,11,78.17,7.106363636363636,57.039999999999985,5.185454545454544,63.81,5.800909090909091,41.36,3.76,14.330000000000002,1.302727272727273,16.069999999999997,1.4609090909090907,15.969999999999999,1.4518181818181817,11.43,1.039090909090909
1959,5,24,131.8,5.491666666666667,117.78,4.9075,118.41,4.93375,59.99,2.4995833333333333,39.21000000000001,1.6337500000000003,56.300000000000004,2.3458333333333337,44.03,1.8345833333333335,31.640000000000008,1.3183333333333336
1959,6,31,207.37999999999994,6.689677419354837,136.75,4.411290322580645,169.97000000000003,5.482903225806452,110.67999999999998,3.5703225806451604,42.540000000000006,1.3722580645161293,48.199999999999996,1.5548387096774192,47.45999999999999,1.5309677419354835,37.68999999999999,1.215806451612903
1959,7,18,117.21999999999998,6.5122222222222215,89.11999999999999,4.951111111111111,96.23,5.346111111111111,58.57,3.253888888888889,24.560000000000006,1.3644444444444448,28.479999999999997,1.582222222222222,26.590000000000003,1.4772222222222224,20.500000000000004,1.138888888888889
1959,8,8,56.839999999999996,7.1049999999999995,45.05,5.63125,47.43,5.92875,29.730000000000004,3.7162500000000005,11.620000000000001,1.4525000000000001,13.4,1.675,11.82,1.4775,9.330000000000002,1.1662500000000002
1959,9,21,120.46000000000001,5.736190476190477,99.00999999999998,4.714761904761904,105.86999999999999,5.041428571428571,51.35000000000001,2.4452380952380954,27.130000000000003,1.2919047619047621,26.05999999999999,1.2409523809523806,32.32,1.539047619047619,25.81,1.229047619047619
1959,10,29,180.77999999999997,6.233793103448275,137.84,4.753103448275862,153.46999999999997,5.29206896551724,78.74999999999999,2.71551724137931,46.89000000000001,1.6168965517241383,62.660000000000025,2.1606896551724146,45.79999999999998,1.5793103448275856,38.02999999999999,1.3113793103448272
1959,11,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1959,12,19,140.46,7.392631578947369,109.83,5.780526315789474,108.31,5.700526315789474,73.27,3.856315789473684,25.320000000000007,1.3326315789473688,27.970000000000002,1.4721052631578948,27.299999999999994,1.4368421052631575,21.66,1.14
1959,13,12,60.36,5.03,53.34,4.445,55.13,4.594166666666667,28.200000000000003,2.35,18.61,1.5508333333333333,19.479999999999997,1.623333333333333,21.06,1.755,16.11,1.3425
1959,14,11,74.54,6.776363636363637,51.849999999999994,4.713636363636363,62.06999999999999,5.642727272727272,39.73,3.6118181818181814,15.31,1.3918181818181818,17.49,1.5899999999999999,16.59,1.508181818181818,11.889999999999997,1.0809090909090906
1959,15,12,62.480000000000004,5.206666666666667,53.300000000000004,4.441666666666667,58.849999999999994,4.904166666666666,26.670000000000005,2.2225000000000006,16.11,1.3425,15.950000000000001,1.3291666666666668,17.049999999999997,1.4208333333333332,15.870000000000003,1.3225000000000002
1959,16,12,74.62,6.218333333333334,67.1,5.591666666666666,62.72,5.226666666666667,37.06999999999999,3.089166666666666,18.440000000000005,1.536666666666667,21.95,1.8291666666666666,21.93,1.8275,13.969999999999999,1.1641666666666666
1959,17,5,19.22,3.844,14.879999999999999,2.976,18.92,3.7840000000000003,8.4,1.6800000000000002,8.68,1.736,6.54,1.308,6.6,1.3199999999999998,7.3999999999999995,1.48
1959,18,11,56.85999999999999,5.169090909090908,47.879999999999995,4.352727272727273,50.39,4.580909090909091,23.209999999999994,2.1099999999999994,15.98,1.4527272727272729,17.42,1.5836363636363637,17.8,1.6181818181818182,12.69,1.1536363636363636
1959,19,20,133.13,6.656499999999999,103.95,5.1975,109.10999999999999,5.455499999999999,62.88,3.144,29.24000000000001,1.4620000000000004,30.980000000000004,1.5490000000000002,28.64,1.432,25.519999999999996,1.2759999999999998
1959,20,6,35.779999999999994,5.963333333333332,30.3,5.05,30.58,5.096666666666667,17.939999999999998,2.9899999999999998,8.100000000000001,1.3500000000000003,8.31,1.385,8.95,1.4916666666666665,6.819999999999999,1.1366666666666665
1959,21,10,78.48,7.848000000000001,57.959999999999994,5.795999999999999,63.99,6.399,42.21,4.221,14.580000000000005,1.4580000000000006,16.74,1.674,14.31,1.431,10.89,1.089
1959,22,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1959,23,38,235.32999999999984,6.192894736842101,210.48999999999984,5.539210526315785,189.26000000000008,4.980526315789476,108.55000000000004,2.856578947368422,60.140000000000015,1.5826315789473688,63.52999999999996,1.671842105263157,66.04999999999998,1.7381578947368417,49.449999999999996,1.3013157894736842
1959,24,5,31.64,6.328,16.84,3.368,23.6,4.720000000000001,16.44,3.2880000000000003,5.04,1.008,5.68,1.136,4.64,0.9279999999999999,4.24,0.8480000000000001
