Year,Chart,Negative,Neutral,Positive,Compound
1960,30,0.0,1.0,0.0,0.0
1960,31,0.0,0.256,0.744,0.4404
1960,32,0.0,1.0,0.0,0.0
1960,33,0.0,1.0,0.0,0.0
1960,34,0.0,1.0,0.0,0.0
1960,35,0.0,1.0,0.0,0.0
1960,36,0.63,0.37,0.0,-0.5267
1960,37,0.0,1.0,0.0,0.0
1960,38,0.556,0.444,0.0,-0.3612
1960,39,0.0,0.385,0.615,0.4939
1960,40,0.0,1.0,0.0,0.0
1960,41,0.0,1.0,0.0,0.0
1960,42,0.0,1.0,0.0,0.0
1960,43,0.0,0.698,0.302,0.0772
1960,44,0.0,1.0,0.0,0.0
1960,45,0.0,0.323,0.677,0.6369
1960,46,0.0,1.0,0.0,0.0
1960,47,0.186,0.233,0.581,0.5267
1960,48,0.0,0.323,0.677,0.6369
1960,49,0.0,1.0,0.0,0.0
1960,50,0.0,1.0,0.0,0.0
1960,51,0.0,1.0,0.0,0.0
1960,52,0.0,1.0,0.0,0.0
1960,53,0.0,1.0,0.0,0.0
1960,54,0.0,1.0,0.0,0.0
1960,55,0.0,1.0,0.0,0.0
1960,56,0.0,1.0,0.0,0.0
1960,57,0.0,1.0,0.0,0.0
1960,58,0.0,1.0,0.0,0.0
1960,59,0.688,0.312,0.0,-0.6597
1960,60,0.0,1.0,0.0,0.0
1960,61,0.0,1.0,0.0,0.0
1960,62,0.0,1.0,0.0,0.0
1960,63,0.0,1.0,0.0,0.0
1960,64,0.0,1.0,0.0,0.0
1960,65,0.0,0.263,0.737,0.8555
1960,66,0.508,0.492,0.0,-0.4767
1960,67,0.0,0.417,0.583,0.6369
1960,68,0.0,1.0,0.0,0.0
1960,69,0.0,1.0,0.0,0.0
1960,70,0.772,0.228,0.0,-0.5256
1960,71,0.0,1.0,0.0,0.0
1960,72,0.0,1.0,0.0,0.0
1960,73,0.0,1.0,0.0,0.0
1960,74,0.0,1.0,0.0,0.0
1960,75,0.187,0.597,0.216,0.1027
1960,76,0.0,0.377,0.623,0.5106
1960,77,0.0,1.0,0.0,0.0
1960,78,0.0,1.0,0.0,0.0
1960,79,0.0,1.0,0.0,0.0
1960,80,0.0,0.213,0.787,0.5719
1960,81,0.0,1.0,0.0,0.0
1960,82,0.0,0.25,0.75,0.4588
1960,83,0.0,1.0,0.0,0.0
1960,84,0.0,1.0,0.0,0.0
1960,85,0.0,1.0,0.0,0.0
1960,86,0.0,1.0,0.0,0.0
1960,87,0.0,1.0,0.0,0.0
1960,88,0.0,1.0,0.0,0.0
1960,89,0.0,1.0,0.0,0.0
1960,90,0.0,1.0,0.0,0.0
1960,91,0.0,0.435,0.565,0.5994
1960,92,0.0,1.0,0.0,0.0
1960,93,0.0,0.698,0.302,0.0772
1960,94,0.0,1.0,0.0,0.0
1960,95,0.0,1.0,0.0,0.0
1960,96,0.0,1.0,0.0,0.0
1960,97,0.0,1.0,0.0,0.0
1960,98,0.0,1.0,0.0,0.0
1960,99,0.714,0.286,0.0,-0.3612
1960,100,0.0,1.0,0.0,0.0
1961,1,0.0,1.0,0.0,0.0
1961,2,0.0,1.0,0.0,0.0
1961,3,0.0,1.0,0.0,0.0
1961,4,1.0,0.0,0.0,-0.4767
1961,5,0.0,1.0,0.0,0.0
1961,6,0.0,0.417,0.583,0.4215
1961,7,0.0,1.0,0.0,0.0
1961,8,0.0,1.0,0.0,0.0
1961,9,0.0,1.0,0.0,0.0
1961,10,0.0,1.0,0.0,0.0
1961,11,0.0,1.0,0.0,0.0
1961,12,0.0,0.396,0.604,0.7269
1961,13,0.744,0.256,0.0,-0.4404
1961,14,0.0,0.294,0.706,0.802
1961,15,0.0,1.0,0.0,0.0
1961,16,0.0,0.488,0.512,0.6369
1961,17,0.0,1.0,0.0,0.0
1961,18,0.0,1.0,0.0,0.0
1961,19,0.0,1.0,0.0,0.0
1961,20,0.437,0.563,0.0,-0.4767
1961,21,0.0,1.0,0.0,0.0
1961,22,0.0,1.0,0.0,0.0
1961,23,0.0,1.0,0.0,0.0
1961,24,0.0,1.0,0.0,0.0
1961,25,0.0,1.0,0.0,0.0
1961,26,0.0,1.0,0.0,0.0
1961,27,0.0,1.0,0.0,0.0
1961,28,0.0,0.294,0.706,0.3412
1961,29,0.0,1.0,0.0,0.0
1961,30,0.0,0.417,0.583,0.6369
1961,31,0.0,1.0,0.0,0.0
1961,32,0.0,1.0,0.0,0.0
1961,33,0.0,1.0,0.0,0.0
1961,34,0.0,0.286,0.714,0.6124
1961,35,0.0,1.0,0.0,0.0
1961,36,0.0,1.0,0.0,0.0
1961,37,0.0,1.0,0.0,0.0
1961,38,0.0,1.0,0.0,0.0
1961,39,0.0,1.0,0.0,0.0
1961,40,0.0,1.0,0.0,0.0
1961,41,0.0,1.0,0.0,0.0
1961,42,0.0,1.0,0.0,0.0
1961,43,0.0,1.0,0.0,0.0
1961,44,0.0,1.0,0.0,0.0
1961,45,0.0,1.0,0.0,0.0
1961,46,0.0,1.0,0.0,0.0
1961,47,0.0,1.0,0.0,0.0
1961,48,1.0,0.0,0.0,-0.5267
1961,49,0.0,1.0,0.0,0.0
1961,50,0.0,1.0,0.0,0.0
1961,51,0.0,1.0,0.0,0.0
1961,52,0.0,0.263,0.737,0.8555
1961,53,0.0,1.0,0.0,0.0
1961,54,0.0,1.0,0.0,0.0
1961,55,0.0,1.0,0.0,0.0
1961,56,0.231,0.769,0.0,-0.4019
1961,57,0.0,1.0,0.0,0.0
1961,58,0.0,1.0,0.0,0.0
1961,59,0.714,0.286,0.0,-0.3612
1961,60,0.0,1.0,0.0,0.0
1961,61,0.0,0.33,0.67,0.7269
1961,62,0.0,1.0,0.0,0.0
1961,63,0.0,1.0,0.0,0.0
1961,64,0.0,1.0,0.0,0.0
1961,65,0.0,0.69,0.31,0.2023
1961,66,0.0,1.0,0.0,0.0
1961,67,0.0,1.0,0.0,0.0
1961,68,0.0,1.0,0.0,0.0
1961,69,0.0,1.0,0.0,0.0
1961,70,0.0,1.0,0.0,0.0
1961,71,0.0,1.0,0.0,0.0
1961,72,0.0,1.0,0.0,0.0
1961,73,0.0,0.263,0.737,0.4215
1961,74,0.0,1.0,0.0,0.0
1961,75,0.0,1.0,0.0,0.0
1961,76,0.0,1.0,0.0,0.0
1961,77,0.0,0.484,0.516,0.4939
1961,78,0.0,1.0,0.0,0.0
1961,79,0.213,0.787,0.0,-0.4019
1961,80,0.383,0.617,0.0,-0.4767
1961,81,0.0,1.0,0.0,0.0
1961,82,0.0,1.0,0.0,0.0
1961,83,0.0,1.0,0.0,0.0
1961,84,0.0,1.0,0.0,0.0
1961,85,0.0,0.417,0.583,0.6369
1961,86,0.0,1.0,0.0,0.0
1961,87,0.636,0.364,0.0,-0.5423
1961,88,0.0,0.408,0.592,0.4404
1961,89,0.0,1.0,0.0,0.0
1961,90,0.688,0.312,0.0,-0.296
1961,91,0.0,1.0,0.0,0.0
1961,92,0.0,1.0,0.0,0.0
1961,93,0.0,1.0,0.0,0.0
1961,94,0.0,1.0,0.0,0.0
1961,95,0.0,1.0,0.0,0.0
1961,96,0.455,0.545,0.0,-0.3612
1961,97,0.649,0.351,0.0,-0.5719
1961,98,0.0,1.0,0.0,0.0
1961,99,0.0,0.562,0.438,0.5994
1961,100,0.0,0.303,0.697,0.3182
1962,1,0.0,1.0,0.0,0.0
1962,2,0.447,0.284,0.268,-0.3089
1962,3,0.0,1.0,0.0,0.0
1962,4,0.0,1.0,0.0,0.0
1962,5,0.0,1.0,0.0,0.0
1962,6,0.0,1.0,0.0,0.0
1962,7,0.0,1.0,0.0,0.0
1962,8,0.0,1.0,0.0,0.0
1962,9,0.0,1.0,0.0,0.0
1962,10,0.0,1.0,0.0,0.0
