Year,Chart,Hapax Count,Hapaxes
1959,16,55,"['asked', 'me', 'how', 'knew', 'was', 'of', 'course', 'replied', 'something', 'here', 'inside', 'be', 'denied', 'said', 'some', 'day', 'll', 'find', 'all', 'who', 'are', 'blind', 'ohhh', 'heart', 's', 'on', 'fire', 'must', 'realize', 'chaffed', 'them', 'gaily', 'laughed', 'to', 'think', 'could', 'doubt', 'yet', 'today', 'has', 'flown', 'away', 'am', 'now', 'laughing', 'friends', 'deride', 'tears', 'smile', 'say', 'a', 'lovely', 'flame', 'dies', '4']"
1959,17,22,"['fum', 'smell', 'smoke', 'auditorium', 'his', 'knees', 'know', 'yellin', '7', 'come', '11', 'down', 'boys', 'gym', 'writing', 'wall', 'goofing', 'hall', 'throwing', 'spitballs', 'guess', 'yeah']"
1959,18,27,"['pray', 'returning', 'one', 'living', 'with', 'memry', 'of', 'promising', 'd', 'always', 'above', 'there', 's', 'a', 'moon', 'on', 'fire', 'telling', 'love', 'as', 'desire', 'and', 'ever', 'flame', 'burn', 'darling', 'till']"
1959,19,3,"['honest', 'true', '!']"
1959,20,23,"['verse', 'felt', 'like', 'this', 'how', 'exist', 'had', 'on', 'mind', 're', 'there', 'all', 'time', 'things', 'have', 'really', 'changed', 'since', 'life', 's', 'not', 'same', 'that']"
1959,21,0,[]
1959,22,1,['instrumental']
1959,23,40,"['im', 'deserts', 'burning', 'full', 'of', 'love', 'desire', 'sets', 'soul', 'on', 'fire', 'leave', 'seems', 'like', 've', 'lost', 'part', 'may', 'be', 'marry', 'thrills', 'from', 'toe', 'see', 'lifts', 'right', 'off', 'the', 'floor', 'with', 'whispers', 'soft', 'low', 'makes', 'want', 'jump', 'holler', 'bump', 'into', 'door']"
1959,24,2,"['so', '!']"
1959,25,22,"['time', 'quarrel', 'it', 'almost', 'breaks', 'my', 'heart', 'm', 'afraid', 'will', 'part', 'happy', 'next', 'sad', 'guess', 'learn', 'take', 'good', 'with', 'bad', 'and', '5']"
1959,26,16,"['baby', 'a', 'lovely', 'light', 'not', 'bright', 'eyes', 'tonight', 'blow', 'out', 'wish', 'come', 'true', 'll', 'be', 'wishing']"
1959,27,46,"['its', 'someday', 'someway', 'realize', 've', 'been', 'blind', 'yes', 'darling', 're', 'going', 'to', 'need', 'until', 'reach', 'end', 'line', 'but', 'pass', 'way', 'after', 'gave', 'everything', 'had', 'laughed', 'called', 'clown', 'remember', 'in', 'your', 'search', 'for', 'fortune', 'fame', 'what', 'goes', 'must', 'come', 'down', 'one', 'day', 'wake', 'find', 'was', 'true', '1']"
1959,28,64,"['when', 'left', 'alone', 'at', 'record', 'hop', 'going', 'out', 'soda', 'pop', 'gone', 'quite', 'awhile', 'half', 'an', 'hour', 'or', 'more', 'came', 'back', 'oh', 'this', 'is', 'what', 'saw', 'untrue', 'bet', 'bottom', 'dollar', 'are', 'through', 'instrumental', 'interlude', 'it', 'belonged', 'to', 'made', 'stop', 'think', 'then', 'noticed', 'yours', 'red', 'mine', 'baby', 'pink', 'who', 'walked', 'in', 'but', 'mary', 'jane', 'mess', 'smoochin', 'my', 'best', 'friend', '?', 'guess', 'answer', 's', 'yes', 'repeat', 'boy']"
1959,29,30,"['movin', 'on', 'down', 'the', 'line', 'bound', 'broke', 'heart', 'made', 'cry', 'now', 'm', 'if', 'really', 'love', 'just', 'playing', 'for', 'a', 'fool', 'left', 'leave', 'gon', 'tell', 'beside', 'side', 'to', 'be', 'guide', 'want']"
1959,30,49,"['hey', 'be', 'stingy', 'little', 'mama', 'bout', 'starve', 'half', 'death', 'now', 'can', 'spare', 'or', 'two', 'and', 'still', 'plenty', 'left', 'natural', 'born', 'beehive', 'filled', 'with', 'honey', 'top', 'but', 'greedy', 'want', 'is', 'wishbone', 'in', 'pocket', 'rabbit', 'foot', 'around', 'wrist', 'know', 'd', 'things', 'lucky', 'charms', 'could', 'bring', 'if', 'give', 'one', 'sweet', 'oh', '1']"
1959,31,1,['instrumental']
1959,32,43,"['first', 'in', 'history', 'with', 'an', 'apple', 'tempted', 'deceived', 'just', 'for', 'spite', 'devil', 'made', 'him', 'take', 'bite', 'general', 'of', 'france', 'tried', 'conquer', 'world', 'pants', 'defeat', 'known', 'as', 'bonaparte', 'retreat', 'when', 'feller', 'whose', 'darling', 'proved', 'untrue', 'took', 'her', 'life', 'too', 'swings', 'birdie', 'sings', 'tom', 'dooley']"
1959,33,20,"['were', 'd', 'need', 'whoa', 'oh', 'myself', 'your', 'heart', 'feels', 'way', 'answer', 'yes', 'pretty', 'little', 'church', 'on', 'day', 'wed', 'dress', 'of']"
1959,34,19,"['theres', 'pardon', 'if', 'sentimental', 'goodbye', 'do', 'nt', 'be', 'angry', 'with', 'should', 'cry', 're', 'gone', 'yet', 'little', 'years', 'go', 'by']"
1959,35,54,"['guitar', 'boogie', 'shuffle', 'lay', 'staring', 'at', 'ceiling', 'through', 'night', 'out', 'haunt', 'come', 'ghosts', 'bury', 'head', 'bone', 'colored', 'cradle', 'sleep', 'with', 'smile', 'upon', 'they', 'say', 'into', 'every', 'little', 'rain', 'must', 'fall', 'dream', 'cloud', 'has', 'burst', 'dripped', 'over', 'body', 'forms', 're', 'duty', 'bound', 'what', 's', 'right', 'is', 'that', 'oasis', 'light', 'darkness', 'admit', 'deny', 'small', 'heart', 'spiteful']"
1959,36,1,['instrumental']
1959,37,79,"['let', 'take', 'from', 'top', 'grab', 'wheels', 'way', 'll', 'talk', 'about', 'cuckoo', 'deals', 'wavelength', 'reading', 'fine', 'nt', 'here', 'til', 'get', 'cloud', 'nine', 'smog', 'in', 'noggin', 'since', 'made', 'tune', 'dad', 'saddest', 'like', 'green', 'very', 'man', 'burners', 'lighted', 'flaps', 'are', 'bend', 'send', 'planet', 'called\\x97you', 'know', 'baby\\x97the', 'end', 'then', 'd', 'be', 'a', 'stray', 'cat', 'when', 'flyin', 'solo', 'nowhere', 'where', 'at', 'what', 'with', 'this', 'caper', 'baby', 'why', 'wan', 'latch', 'onto', 'want', 'stop', 'combing', 'hair', 'kiss', 'maximum', 'beamed', 'dreamsville', 'movin', 'right', 'kind', 'dig', 'babyyou', 'ginchiest']"
1959,38,24,"['and', 'storm', 'stars', 'my', 'has', 'back', 'here', 'hold', 'sincere', 'like', 'smoke', 'a', 'fire', 'of', 'our', 'dreams', 'above', 'blown', 'kissed', 'snow', 'that', 'left', 'is', 'low']"
1959,39,40,"['evening', 'shadows', 'make', 'me', 'when', 'each', 'weary', 'is', 'through', 'to', 'every', 'reminisce', 'dreaming', 'of', 'your', 'tender', 'kiss', 'always', 'thinking', 'miss', 'a', 'million', 'years', 'it', 'seems', 'have', 'gone', 'by', 'since', 'we', 'shared', 'our', 'dreams', 'but', 'hold', 'again', 'there', 'no', 'memories', 'then']"
1959,40,18,"['comes', 'from', 'got', 'hi', 'fi', 'chassis', 'maybe', 'looks', 'little', 'sassy', 'but', 'me', 'real', 'classy', 'guitar', 'solo', 'honey', 'sugar']"
1959,41,36,"['hey', 'lumpa', 'sugar', 'kinda', 'sweet', 'cuter', 'walkin', 'down', 'street', 'into', 'eyes', 'leap', 'conceal', 'that', 'make', 'feel', 'feelin', 'stronger', 'grizzly', 'bear', 'soarin', 'eagle', 'flyin', 'through', 'air', 'arms', 'd', 'better', 'beware', 'go', 'insane', 'tamed', 'every', 'instrumental', 'break', 'evry']"
1959,42,41,"['take', 'of', 'girls', 'known', 'd', 'out', 'very', 'own', 'a', 'heart', 'that', 's', 'longs', 'is', 'have', 'give', 'belongs', 'long', 'may', 'live', 'forget', 'way', 'kiss', 'we', 're', 'not', 'together', 'wonder', 'missed', 'cause', 'hope', 'pray', 'day', 'belong', 'm', 'gon', 'na', 'prove', 'how', 'can', '1']"
1959,43,37,"['dont', 'have', 'fallen', 'love', 'with', 'for', 'rest', 'whole', 'life', 'through', 'was', 'yours', 'from', 'very', 'day', 'that', 'happened', 'to', 'come', 'way', 'see', 'm', 'under', 'your', 'spell', 'by', 'look', 'eyes', 'now', 'every', 'beat', 'heart', 'keeps', 'crying', 'out', 'want', 'so']"
1959,44,2,"['yeah', '1']"
1959,45,48,"['twenty', 'four', 'little', 'hours', 'brought', 'sun', 'flowers', 'mm', 'where', 'used', 'to', 'rain', 'yesterday', 'was', 'blue', 'today', 'i', 'm', 'part', 'lonely', 'nights', 'are', 'through', 'said', 'were', 'mine', 'lord', 'rainbow', 'before', 'me', 'skies', 'above', 'ca', 'nt', 'stormy', 'moment', 'bliss', 'thrilling', 'kiss', 'it', 'heaven', 'when', 'find', 'romance', 'on', 'your', 'menu', 'is']"
